question,ground_truth_answer,generated_answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Siapa nama pengembang perumahan ini dan apa entitas legal proyeknya?,Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.,Nama pengembang perumahan ini adalah PT Bumi Nirwana Estate. Entitas legal proyeknya adalah PT Margojoyo Anugrah Persada.,Siapa nama pengembang perumahan ini dan apa entitas legal proyeknya?,['Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.'],Nama pengembang perumahan ini adalah PT Bumi Nirwana Estate. Entitas legal proyeknya adalah PT Margojoyo Anugrah Persada.,Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.,,0.0,0.0,1.0
Di mana saja lokasi utama proyek perumahan yang Anda kembangkan di Lumajang?,"Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.","Lokasi utama proyek perumahan di Lumajang adalah di area Klampokarum, Tekung (Kecamatan Tekung), dan Sumberejo (Kecamatan Sukodono) dalam area Kunci 1, 2, dan 3, respectivelly.",Di mana saja lokasi utama proyek perumahan yang Anda kembangkan di Lumajang?,"['Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.']","Lokasi utama proyek perumahan di Lumajang adalah di area Klampokarum, Tekung (Kecamatan Tekung), dan Sumberejo (Kecamatan Sukodono) dalam area Kunci 1, 2, dan 3, respectivelly.","Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.",,,,
"Saya ingin datang langsung ke kantor, di mana alamat kantor pemasarannya?","Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.","Maaf, saya tidak dapat menemukan informasi yang Anda cari.","Saya ingin datang langsung ke kantor, di mana alamat kantor pemasarannya?","['Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari.","Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.",,,0.0,1.0
Berapa harga rumah subsidi di The Margojoyo Residence dan berapa DP-nya?,Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.,"Harga rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000. Namun, dalam simbol dan format yang mengecewakan, tidak ada informasi tentang DP atau uang muka yang diperlukan untuk membeli rumah tersebut. Untuk mendapatkan detail lainnya seperti harga dan promo, silahkan hubungi penjual atau admin yang menawarkan produk ini.",Berapa harga rumah subsidi di The Margojoyo Residence dan berapa DP-nya?,['Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.'],"Harga rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000. Namun, dalam simbol dan format yang mengecewakan, tidak ada informasi tentang DP atau uang muka yang diperlukan untuk membeli rumah tersebut. Untuk mendapatkan detail lainnya seperti harga dan promo, silahkan hubungi penjual atau admin yang menawarkan produk ini.",Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.,,0.0,0.0,0.5
Berapa simulasi angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun?,"Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.",Angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun adalah sekitar Rp 1.299.000.,Berapa simulasi angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun?,"['Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.']",Angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun adalah sekitar Rp 1.299.000.,"Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.",,0.0,0.0,0.5
Apa saja spesifikasi rumah subsidi Tipe 30/72 di Margojoyo?,"Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.","Spesifikasi rumah subsidi Tipe 30/72 di Margojoyo meliputi:

1. Luas Bangunan: 30 m²
2. Luas Tanah: 72 m²
3. Jumlah Kamar Tidur: 2
4. Jumlah Kamar Mandi: 1
5. Carport: Tersedia
6. Desain Rumahan: Tipe Subsidi
7. Area Taman: Tidak disebutkan spesifik
8. Daya Listrik: 900 Watt
9. Sumber Air: Sumur Bor

Saya minta maaf, saya tidak dapat menemukan informasi yang Anda cari untuk spesifikasi rumah subsidi di Margojoyo.",Apa saja spesifikasi rumah subsidi Tipe 30/72 di Margojoyo?,"['Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.']","Spesifikasi rumah subsidi Tipe 30/72 di Margojoyo meliputi:

1. Luas Bangunan: 30 m²
2. Luas Tanah: 72 m²
3. Jumlah Kamar Tidur: 2
4. Jumlah Kamar Mandi: 1
5. Carport: Tersedia
6. Desain Rumahan: Tipe Subsidi
7. Area Taman: Tidak disebutkan spesifik
8. Daya Listrik: 900 Watt
9. Sumber Air: Sumur Bor

Saya minta maaf, saya tidak dapat menemukan informasi yang Anda cari untuk spesifikasi rumah subsidi di Margojoyo.","Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.",,,,0.5
"Selain rumah, apakah ada properti lain yang dijual di The Margojoyo Residence?","Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Mohon berikan detail atau konteks lebih lanjut untuk membantu Anda lebih baik.","Selain rumah, apakah ada properti lain yang dijual di The Margojoyo Residence?","['Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Mohon berikan detail atau konteks lebih lanjut untuk membantu Anda lebih baik.","Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.",,,0.0,0.0
Saya seorang milenial dengan gaji UMR dan kesulitan menabung untuk DP. Apakah ada solusi perumahan untuk saya?,Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).,"Maaf, saya tidak dapat menemukan informasi yang Anda cari.",Saya seorang milenial dengan gaji UMR dan kesulitan menabung untuk DP. Apakah ada solusi perumahan untuk saya?,['Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).'],"Maaf, saya tidak dapat menemukan informasi yang Anda cari.",Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).,,,0.9999999999,0.5
Berapa harga rumah di Bumi Nirwana Sumberejo dan apa saja promonya?,Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.,"Harga rumah di Bumi Nirwana Sumberejo adalah Rp 166.000.000 dan untuk promonya, Anda membutuhkan informasi lebih lanjut atau kontak langsung dengan perusahaan untuk mendapatkan detail lengkap.",Berapa harga rumah di Bumi Nirwana Sumberejo dan apa saja promonya?,['Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.'],"Harga rumah di Bumi Nirwana Sumberejo adalah Rp 166.000.000 dan untuk promonya, Anda membutuhkan informasi lebih lanjut atau kontak langsung dengan perusahaan untuk mendapatkan detail lengkap.",Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.,,,0.0,1.0
Apa saja ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo?,"Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.",Rumah di Bumi Nirwana Sumberejo memiliki total 2 kamar tidur.,Apa saja ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo?,"['Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.']",Rumah di Bumi Nirwana Sumberejo memiliki total 2 kamar tidur.,"Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.",,0.0,0.9999999999,0.5
