question,generated_answer,ground_truth_answer,result_hit,context_precision,context_recall,faithfulness,answer_relevancy
Siapa nama pengembang perumahan ini dan apa entitas legal proyeknya?,Nama pengembang perumahan ini adalah PT Bumi Nirwana Estate. Entitas Legal Proyeknya adalah PT Margojoyo Anugrah Persada.,Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.,✅ Yes,0.0,0.0,0.0,0.0
Di mana saja lokasi utama proyek perumahan yang Anda kembangkan di Lumajang?,"Lokasi utama proyek perumahan yang diinformasikan adalah dalam kawasan Desa Klampokarum, Tekung, Lumajang.","Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.",❌ No,0.0,0.0,0.0,0.0
"Saya ingin datang langsung ke kantor, di mana alamat kantor pemasarannya?","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Mari kita lihat ulasan lainnya atau pertanyaan terkait yang bisa membantu Anda.","Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.",❌ No,0.0,0.0,0.0,0.0
Berapa harga rumah subsidi di The Margojoyo Residence dan berapa DP-nya?,"Harga rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dan DP-nya adalah 1% atau Rp 1.660.000. Namun, informasi ini mungkin sedikit kurang karena tidak ada data spesifik tentang diskon/promosi yang berlaku saat ini. Semua detail tersebut mungkin berubah setiap waktu.",Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.,❌ No,0.0,0.0,0.0,0.0
Berapa simulasi angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun?,"Angsuran KPR untuk rumah subsidi Margojoyo yang memiliki tenor 15 tahun dan berlaku per bulan adalah Rp 1.299.000. Anda dapat mempertimbangkan juga informasi tentang spesifikasi rumah atau promo tersedia, tergantung pada kebutuhan investasional Anda.","Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.",❌ No,0.0,0.0,0.0,0.0
Apa saja spesifikasi rumah subsidi Tipe 30/72 di Margojoyo?,"Rumah subsidi Tipe 30/72 di Margojoyo memiliki luas bangunan sebesar 30 m², dan luas tanah adalah 72 m². Untuk detail lainnya, silakan cek detail tambahan di situs web atau informasi yang sama untuk mengakses spesifikasi lengkap.","Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.",❌ No,0.0,0.0,0.0,0.0
"Selain rumah, apakah ada properti lain yang dijual di The Margojoyo Residence?","Maaf, informasi tentang properti lain di The Margojoyo Residence tidak tersedia. Saya minta maaf jika Anda memiliki pertanyaan lain yang dapat saya jawab.","Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.",❌ No,0.0,0.0,0.0,0.0
Saya seorang milenial dengan gaji UMR dan kesulitan menabung untuk DP. Apakah ada solusi perumahan untuk saya?,"Maaf, saya tidak dapat menemukan informasi yang Anda cari. Bumi Nirwana Sumberejo mungkin tidak memiliki solusi yang sesuai untuk kebutuhan Anda dengan gaji UMR dan kesulitan menabung untuk DP. Anda mungkin perlu mencari perumahan lain atau pertimbangkan berinvestasi dalam properti masa depan di lokasi yang strategis dengan biaya yang lebih murah. Selamat mencoba!",Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).,❌ No,0.0,0.0,0.0,0.0
Berapa harga rumah di Bumi Nirwana Sumberejo dan apa saja promonya?,"Harga Rumah di Bumi Nirwana Sumberejo adalah Rp 166.000.000, sedangkan promo yang tersedia antara lain Tanpa DP (DP 0%) dan Gratis Semua Biaya.",Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.,❌ No,0.0,0.0,0.0,0.0
Apa saja ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo?,Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur.,"Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.",❌ No,0.0,0.0,0.0,0.0
Apa konsep yang diusung oleh perumahan The Royal Avenue?,Konsep utama diusung oleh perumahan The Royal Avenue adalah hunian mewah 2 lantai dengan desain modern dan elegan.,The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.,❌ No,0.0,0.0,0.0,0.0
Apa fasilitas paling unggul yang ditawarkan di setiap unit The Royal Avenue?,Fasilitas Unggulan yang ditawarkan di setiap unit The Royal Avenue adalah Kolam renang pribadi di setiap rumah.,Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.,✅ Yes,0.0,0.0,0.0,0.0
Berapa harga satu unit rumah di The Royal Avenue dan ada promo apa?,"Harga satu unit rumah di The Royal Avenue adalah Rp 300.000.000. Terdapat juga promo ""Gratis Semua Biaya"" yang menawarkan keuntungan tambahan pada pembelian unit rumah ini.","Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".",❌ No,0.0,0.0,0.0,0.0
Apa yang dimaksud dengan Uang Tanda Jadi (UTJ) dan apakah bisa dikembalikan jika saya batal membeli?,"Uang Tanda Jadi (UTJ) adalah biaya yang harus dibayar untuk menyertakan unit pilihan dalam proses pembelian properti, seperti rumah. Rencananya, ini mencakup sejumlah besar uang dan bisa berbeda-beda tergantung pada proyek dan jenisnya.

Berbicara tentang kemampuan pengembalian, jika Anda batal membeli unit pilihan dalam sebuah proyek properti, meskipun Anda sudah membayar UTJ untuk proses ini, Anda mungkin tidak bisa mengambil keuntungan dari pembayaran tersebut. Biaya ini biasanya tidak dapat dikembalikan atau digunakan untuk biaya lain.",UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.,❌ No,0.0,0.0,0.0,0.0
"Bagaimana jika pengajuan KPR saya ditolak oleh bank, apakah Uang Muka (DP) saya bisa kembali?","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Maaf juga karena Anda memerlukan informasi lebih lanjut dan konteks spesifik tentang situasi Anda di mana pengajuan KPR ditolak oleh bank. Silakan berikan detail lebih banyak atau jelaskan konteksnya untuk membantu saya memberikan jawaban yang lebih tepat.","Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.",❌ No,0.0,0.0,0.0,0.0
Apa saja biaya yang sudah termasuk dalam harga jual rumah?,"Harga yang telah termasuk dalam harga jual Rumah Subsidi (Margojoyo) mencakup instalasi listrik, sumber air pasifik dan daya listrik yang ditentukan. Tujuan utama adalah untuk memberikan informasi tentang prosedur pembelian dan memastikan bahwa semua biaya yang perlu dipertimbangkan sudah termasuk dalam harga tersebut.","Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.",❌ No,0.0,0.0,0.0,0.0
Dokumen apa saja yang umumnya diperlukan untuk mengajukan KPR?,"Mengajukan Permohonan Pengajuan Rumah dengan Sumber Daya Pasar (KPR) membutuhkan beberapa dokumen sebagai persyaratan. Dokumen ini harus disertakan dalam surat permohonan:

1. Fotokopi KTP, KK, NPWP, dan Pas Foto.
2. Surat Nikah jika sudah menikah.
3. Slip Gaji 3 bulan terakhir untuk Penghasilan.
4. Status Pekerjaan: SLIP Kerja.

Dalam beberapa kasus, pendaftaran juga membutuhkan dokumen berikut:

1. For PNS: Konsultasi dengan Dinas Keuangan.
2. Wiraswasta: Surat Keputusan Uraian Pasal Perpanjangan Tunai dari Badan Pengeluaran Negara (BPJK).

Dalam hal ini, Dokumentasi KPR yang umumnya diperlukan mencakup persyaratan tersebut.","Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.",✅ Yes,0.0,0.0,0.0,0.0
Apakah ada dokumen tambahan yang dibutuhkan jika saya seorang PNS atau wiraswasta?,"Maaf, saya tidak dapat menemukan informasi yang Anda cari. Saya akan memastikan untuk mencari dan memberikan informasi lebih lanjut. Terima kasih!","Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.",❌ No,0.0,0.0,0.0,0.0
"Saya sudah bosan mengontrak rumah setiap tahun, apa solusi yang ditawarkan?",Solusi yang ditawarkan adalah memiliki rumah sendiri. Ini dapat membantu meredakan stres dan memberikan stabilitas. Anda juga bisa mendapatkan fasilitas seperti tanpa DP atau gratis semua biaya dengan menikmati tipe Rumah Subsidi di Bumi Nirwana Sumberejo.,Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.,❌ No,0.0,0.0,0.0,0.0
Saya khawatir proses KPR itu rumit. Apakah tim Anda bisa membantu saya?,"Maaf, saya tidak dapat menemukan informasi yang Anda cari. Namun, saya bisa memberikan informasi tambahan tentang proses membeli properti dengan bank. Bisa Anda jelaskan lebih lanjut tentang kekhawatiran Anda?","Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.",❌ No,0.0,0.0,0.0,0.0
