question,generated_answer,ground_truth_answer,result_hit
Berapa DP untuk rumah subsidi di Margojoyo Residence?,DP untuk rumah subsidi di Margojoyo Residence adalah 1% atau Rp 1.660.000.,DP untuk tipe subsidi di The Margojoyo Residence adalah Rp 1.660.000.,❌ No
Perumahan apa yang punya kolam renang?,"Maaf, saya tidak dapat menemukan informasi tentang perumahan yang memiliki kolam renang.",The Royal Avenue adalah perumahan yang memiliki kolam renang pribadi.,❌ No
Sebutkan 3 syarat untuk mengajukan KPR.,"3 syarat yang harus diikuti ketika ingin mengajukan KPR adalah:
1. Uang Tanda Jadi (UTJ) / Booking Fee
2. Biaya Termasuk dalam Harga Jual (Berkas)
3. Perizinan: IMB/PBG (izin mendirikan bangunan) dan Instalasi: Listrik, Sumber Air: Sumur Pasak","Tiga syarat KPR adalah Fotocopy KTP/KK/NPWP, Surat Nikah, dan Slip Gaji 3 bulan terakhir.",❌ No
Listrik untuk rumah subsidi berapa watt?,Rumah subsidi Anda memiliki daya listrik yang mencakup sekitar 900 Watt.,Listrik untuk rumah subsidi adalah 900 Watt.,❌ No
Promo apa yang ada di Bumi Nirwana Sumberejo?,"Pada Perumahan Bumi Nirwana Sumberejo, ada beberapa promo menarik. Salah satu promo utama adalah Tanpa DP (DP 0%) serta Gratis Semua Biaya. Ini berarti Anda tidak perlu membayar sebagian nilai downpayment (DP) atau biaya lainnya selama Anda membeli rumah tersebut. Sedangkan promo tambahan adalah Free Semua Biaya, yang berarti semua biaya seperti administrasi, surat keterangan kerja, dan lain-lain akan ditanggung oleh perumahan ini.",Promo di Bumi Nirwana Sumberejo adalah Tanpa DP (0%) dan Free Semua Biaya.,✅ Yes
"Saya seorang PNS, dokumen apa saja yang perlu saya siapkan untuk KPR?","Untuk Melakukan Permintaan Kredit Perumahan (KPR) sebagai Pegawai Non-Pemasaran (PNS), Anda mungkin membutuhkan dokumen dan informasi berikut:

1. Dokumen Identitas: Dua buku kertas yang identik, seperti Surat Keterangan Pegawai atau Kartu Kelamin, serta Surat KTP.
2. Pendapatan: Informasi tentang pendapatan harian atau bulanan Anda selama masa kerja di PNS.
3. Biodata Lengkap: Format dan sebaran detail diri seperti alamat, jenis pekerjaan, jabatan, dan gaji.
4. Permohonan Kredit: Format atau surat permohonan untuk menyetujui pinjaman perumahan.
5. Kartu Pinjaman Rumah (DP): Jika Anda memilih promo tanpa DP, ini adalah dokumen yang penting untuk ditunjukkan kepada bank untuk membantu mendapatkan pinjaman.

Harap juga waspadaan pada semua data yang akan diberikan agar tidak terjadi kesalahan dalam pengisian. Mohon baca dan cek dengan sebaik-baiknya, karena ini merupakan langkah penting dalam proses pinjaman rumah. Selamat mencoba!","Sebagai PNS, Anda perlu menyiapkan syarat umum KPR ditambah SK Terakhir.",❌ No
"Jika saya ambil tenor KPR 15 tahun di Margojoyo, berapa cicilannya?","Maaf, saya tidak dapat menemukan informasi yang Anda cari.",Angsuran untuk tenor 15 tahun di The Margojoyo Residence adalah Rp 1.299.000 per bulan.,❌ No
Perumahan mana yang paling dekat dengan Alun-alun Lumajang?,"Maaf, saya tidak dapat menemukan informasi tentang perumahan yang paling dekat dengan Alun-alun Lumajang. Namun, bisa Anda cek langsung ke situs web atau laman resmi perusahaan untuk mendapatkan informasi terkini dan lokasi yang paling berhubungan.","The Margojoyo Residence adalah yang paling dekat, hanya 5 menit dari Alun-alun Lumajang.",❌ No
"Saya mau investasi ruko, ada pilihan apa dan berapa harganya?","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Maaf juga karena Anda memiliki masalah finansial dengan gaji UMR atau kesulitan menabung untuk biaya pembelian properti. Selamat mencoba perumahan Bumi Nirwana Sumberejo di kota Sumbarejo, mana pun promo tanpa DP yang mungkin bisa menjadi solusi Anda. Untuk detail harga, saya sarankan langsung berbicara dengan tim kami atau lewat pengiriman surat atau email yang dapat diproses melalui proses pembelian properti kami. Kami menyediakan fasilitas rumah subsidi yang umumnya lebih ringan daripada biaya sewa. Selamat mencoba!",Ada pilihan Ruko 2 lantai di The Margojoyo Residence seharga Rp 250.000.000.,❌ No
Bandingkan promo antara The Margojoyo Residence dan Bumi Nirwana Sumberejo.,"Promo yang paling menarik dari proyek The Margojoyo Residence adalah Tanpa DP (DP 0%) serta Gratis Semua Biaya. Sedangkan untuk Bumi Nirwana Sumberejo, promo utama adalah Tanpa DP (DP 0%) dan gratis semua biaya.

Namun, dalam hal ini, saya tidak menemukan informasi tentang skema pembayaran atau simulasinya. Untuk informasi lebih lengkap, Anda perlu mencari data tambahan yang berkaitan dengan promonya.","Promo di Margojoyo adalah DP ringan 1% dan Free AJB/BPHTB, sedangkan di Sumberejo ada promo Tanpa DP 0%.",❌ No
Berapa luas tanah untuk The Royal Avenue?,"Luas tanah untuk proyek perumahan komersil premium The Royal Avenue di Lumajang, Indonesia, sebesar 1,8 Ha.",Informasi mengenai luas tanah The Royal Avenue tidak ditemukan dalam konteks.,❌ No
Apakah ada fasilitas kolam renang umum di Margojoyo Residence?,"Maaf, saya tidak dapat menemukan informasi tentang fasilitas kolam renang umum di Margojoyo Residence. Apakah Anda memerlukan informasi tambahan atau ada pertanyaan lain yang bisa saya bantu?",Informasi mengenai kolam renang umum di Margojoyo Residence tidak ditemukan.,❌ No
Berapa angsuran untuk The Royal Avenue?,Angsuran untuk The Royal Avenue adalah dengan angsuran yang ringan mulai dari 1 jutaan per bulan.,Informasi mengenai simulasi angsuran The Royal Avenue tidak ditemukan.,❌ No
Apakah ada tipe rumah dengan 3 kamar tidur?,"Ya, ada. Royal Avenue menawarkan unit hunian komersial premium yang memiliki 2 lantai dan desain modern dengan 3 ruang keluarga (living room). Jadi, jika Anda mencari rumah dengan 3 kamar tidur, Royal Avenue adalah pilihan yang tepat.",Informasi mengenai tipe rumah dengan 3 kamar tidur tidak ditemukan dalam konteks.,❌ No
"Saya baru menikah dan budget terbatas, baiknya saya pilih yang mana?","Untuk kebutuhan Anda, membeli rumah sendiri bisa menjadi solusi yang lebih baik. Pertama, karena memiliki rumah sendiri bisa memberikan ketenangan dan stabilitas dalam kehidupan. Selain itu, juga akan lebih mudah untuk menetapkan status keuangan dan menabung demi masa depan.

Berikut adalah beberapa alternatif yang bisa Anda pertimbangkan:

1. Rumah Subsidi: Dalam hal ini, Anda akan mendapatkan rumah dengan harga jual yang diperkirakan hingga Rp 750.000 hingga Rp 1.000.000. Biaya tersebut termasuk dalam pendanaan pemasangan dan biayanya bisa dipotong menjadi satu persen atau dua persen dari total biaya perumahan.

2. Rumah Tanpa DP: Jika Anda memiliki kendala finansial seperti gaji UMR atau kesulitan menabung untuk DP, perusahaan dapat memberikan promosi tanpa DP sehingga menyisihkan Anda dari keadaan ini.

Ketiga opsi di atas dapat menjadi pilihan yang baik berdasarkan persyaratan khusus dan budget Anda. Namun, penting bagi Anda untuk mempertimbangkan semua hal yang relevan dengan investasi Anda, termasuk tingkat biaya, waktu pembangunan, lokasi, dan fasilitas yang diberikan oleh unit properti.

Saya minta maaf jika saya tidak dapat menemukan informasi yang Anda cari. Saya akan bekerja keras untuk membantu Anda lebih baik di masa depan.","Untuk keluarga baru dengan budget terbatas, rumah subsidi di Bumi Nirwana Sumberejo bisa jadi pilihan tepat karena ada promo Tanpa DP.",❌ No
Kenapa saya harus memilih The Royal Avenue dibandingkan perumahan lain?,"The Royal Avenue dianggap sebagai proyek perumahan komersil premium dengan konsep hunian mewah 2 lantai, desain modern dan elegan. Ini berarti Anda dapat memastikan kenyamanan dan keindahan tingkat yang tinggi, serta menghadirkan banyak fasilitas yang lengkap. Selain itu, dengan harga per unit yang sangat terjangkau hingga Rp 300.000.000, ini juga merupakan opsi yang ideal untuk Anda jika ingin membeli hunian di sini. Informasi ini dapat menjadi alasan utama mengapa The Royal Avenue harus dipilih dibandingkan perumahan lainnya.",The Royal Avenue menawarkan kemewahan dan lokasi premium di pusat kota dengan fasilitas lengkap termasuk kolam renang pribadi.,❌ No
