question,ground_truth_answer,generated_answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Siapa nama pengembang perumahan ini dan apa entitas legal proyeknya?,Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.,Nama pengembang perumahan ini adalah PT Bumi Nirwana Estate. Entitas legal proyeknya adalah PT Margojoyo Anugrah Persada.,Siapa nama pengembang perumahan ini dan apa entitas legal proyeknya?,['Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.'],Nama pengembang perumahan ini adalah PT Bumi Nirwana Estate. Entitas legal proyeknya adalah PT Margojoyo Anugrah Persada.,Nama pengembangnya adalah PT Bumi Nirwana Estate dan entitas legal proyeknya adalah PT. Margojoyo Anugrah Persada.,,,,
Di mana saja lokasi utama proyek perumahan yang Anda kembangkan di Lumajang?,"Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.","Tentu, Lokasi utama proyek perumahan yang saya kembangkan adalah dalam Kecamatan Tekung, Desa Klampokarum, Di Lumajang.",Di mana saja lokasi utama proyek perumahan yang Anda kembangkan di Lumajang?,"['Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.']","Tentu, Lokasi utama proyek perumahan yang saya kembangkan adalah dalam Kecamatan Tekung, Desa Klampokarum, Di Lumajang.","Proyek kami berlokasi di tiga area kunci: Klampokarum (Kecamatan Tekung), Sumberejo (Kecamatan Sukodono), dan di pusat kota di Ditotrunana.",,,,
"Saya ingin datang langsung ke kantor, di mana alamat kantor pemasarannya?","Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Bisa anda bantu mengganti dengan informasi yang lengkap atau valid untuk memudahkan pencarian informasi lebih lanjut.","Saya ingin datang langsung ke kantor, di mana alamat kantor pemasarannya?","['Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Bisa anda bantu mengganti dengan informasi yang lengkap atau valid untuk memudahkan pencarian informasi lebih lanjut.","Kantor pemasaran kami beralamat di Jalan Achmad Yani No. 172, Lumajang. Anda juga bisa menghubungi kami di nomor 081999998000.",,,,
Berapa harga rumah subsidi di The Margojoyo Residence dan berapa DP-nya?,Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.,TIMEOUT_ERROR,Berapa harga rumah subsidi di The Margojoyo Residence dan berapa DP-nya?,['Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.'],TIMEOUT_ERROR,Harga jual rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000 dengan Uang Muka (DP) sebesar 1% atau Rp 1.660.000.,,,,
Berapa simulasi angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun?,"Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.",Harga rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000. DP-nya adalah 1% atau sekitar Rp 1.660.000.,Berapa simulasi angsuran KPR per bulan untuk rumah subsidi di Margojoyo dengan tenor 15 tahun?,"['Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.']",Harga rumah subsidi di The Margojoyo Residence adalah Rp 166.000.000. DP-nya adalah 1% atau sekitar Rp 1.660.000.,"Untuk tenor 15 tahun, simulasi angsuran KPR per bulannya adalah Rp 1.299.000.",,,,
Apa saja spesifikasi rumah subsidi Tipe 30/72 di Margojoyo?,"Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.",TIMEOUT_ERROR,Apa saja spesifikasi rumah subsidi Tipe 30/72 di Margojoyo?,"['Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.']",TIMEOUT_ERROR,"Spesifikasinya mencakup 2 kamar tidur, 1 kamar mandi, carport, dapur, area taman, daya listrik 900 Watt, dan sumber air dari sumur bor.",,,,
"Selain rumah, apakah ada properti lain yang dijual di The Margojoyo Residence?","Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.","Maaf, informasi yang Anda cari tidak tersedia. Silakan minta kontak pihak penjual atau simulasi yang lebih detail.","Selain rumah, apakah ada properti lain yang dijual di The Margojoyo Residence?","['Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.']","Maaf, informasi yang Anda cari tidak tersedia. Silakan minta kontak pihak penjual atau simulasi yang lebih detail.","Ya, kami juga menyediakan Ruko (Rumah Toko) 2 Lantai dengan harga Rp 250.000.000.",,,,
Saya seorang milenial dengan gaji UMR dan kesulitan menabung untuk DP. Apakah ada solusi perumahan untuk saya?,Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).,"Rumah Subsidi Tipe 30/72 di Margojoyo memiliki luas bangunan sebesar 30 m² dan luas tanah sekitar 72 m². Selain itu, ada juga area taman yang tersedia. Ini adalah spesifikasi umum dari rumah subsidi ini. Perlu diingat bahwa informasi ini dapat berubah tergantung pada perubahan standar atau permintaan penjualan oleh pemilik rumah tersebut.",Saya seorang milenial dengan gaji UMR dan kesulitan menabung untuk DP. Apakah ada solusi perumahan untuk saya?,['Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).'],"Rumah Subsidi Tipe 30/72 di Margojoyo memiliki luas bangunan sebesar 30 m² dan luas tanah sekitar 72 m². Selain itu, ada juga area taman yang tersedia. Ini adalah spesifikasi umum dari rumah subsidi ini. Perlu diingat bahwa informasi ini dapat berubah tergantung pada perubahan standar atau permintaan penjualan oleh pemilik rumah tersebut.",Tentu ada. Perumahan Bumi Nirwana Sumberejo dirancang khusus untuk milenial atau masyarakat dengan gaji UMR dan menawarkan promo utama Tanpa DP (DP 0%).,,,,
Berapa harga rumah di Bumi Nirwana Sumberejo dan apa saja promonya?,Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.,TIMEOUT_ERROR,Berapa harga rumah di Bumi Nirwana Sumberejo dan apa saja promonya?,['Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.'],TIMEOUT_ERROR,Harga rumah Tipe 30/60 di sana adalah Rp 166.000.000. Promonya adalah Tanpa DP (DP 0%) dan Gratis Semua Biaya.,,,,
Apa saja ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo?,"Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.","Ya, di The Margojoyo Residence ada properti Ruko (Rumah Toko) 2 Lantai. Spesifikasi properti tersebut mencakup luas bangunan 72 m², dengan jumlah kamar mandi 1 dan area taman juga tersedia. Selain itu, properti ini juga memiliki garasi untuk mobil satu unit.",Apa saja ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo?,"['Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.']","Ya, di The Margojoyo Residence ada properti Ruko (Rumah Toko) 2 Lantai. Spesifikasi properti tersebut mencakup luas bangunan 72 m², dengan jumlah kamar mandi 1 dan area taman juga tersedia. Selain itu, properti ini juga memiliki garasi untuk mobil satu unit.","Rumah di Bumi Nirwana Sumberejo memiliki 2 kamar tidur, 1 kamar mandi, carport, dan sebuah ruang serbaguna.",,,,
